blank,time-of-text,text-time,text,title,author
,4:00,four in the morning,"The night before Albert Kessler arrived in Santa Teresa, at four in the morning, Sergio Gonzalez Rodriguez got a call from Azucena Esquivel Plata, reporter and PRI congresswoman.",2666,Roberto Bolano
,0:28,12.28,The DRINK CHEER-UP COFFEE wall clock read 12.28.,11/22/1963,Stephen King
,7:59,7.59,"I'd spent fifty two days in 1958, but here it was 7.59 in the morning.",11/22/1963,Stephen King
,11:58,11.58,"And when you go down the steps, it's always 11.58 on the morning of September ninth, 1958.",11/22/1963,Stephen King
,12:21,Twelve twenty-one,Jake think of something. PLEASE! Twelve twenty-one.,11/22/1963,Stephen King
,12:28,12.28,The DRINK CHEER-UP COFFEE wall clock read 12.28.,11/22/1963,Stephen King
,15:33,Three thirty-three,"I picked up my briefcase, glancing at my watch again as I did so. Three thirty-three.",11/22/1963,Stephen King
,15:39,three thirty-nine in the afternoon,"I lived two lives in late 1965 and early 1963, one in Dallas and one in Jodie. They came together at three thirty-nine in the afternoon of April 10.",11/22/1963,Stephen King
,15:45,3.45pm,"I opened my notebook, flipped almost to the end before I found a blank page, and wrote ""October 5th, 3.45pm, Dunning to Longview Cem, puts flowers on parents' (?) graves. Rain.""",11/22/1963,Stephen King
,5:26,5:26,There isn't a sound from them. Not a moan. Poor them. Poor me. I look at the clock. 05:26.,101 Reykjavik,Hallgrimur Helgason
,17:26,5:26,There isn't a sound from them. Not a moan. Poor them. Poor me. I look at the clock. 05:26.,101 Reykjavik,Hallgrimur Helgason
,15:04,1504,Woken at 1504 by Michelangelo hammering away with his chisel.,101 Reykjavik,Hallgrimur Helgason
,16:01,1601,"Light is coming in through the curtains. Suddenly the digits on the clock radio look like a year. 1601. I woke up a bit early, don't have to be born for another 400 years.",101 Reykjavik,Hallgrimur Helgason
,16:37,1637,She should have been home by now. 1637. Yes. It's as if I had the date of a year on my arm. Every day is a piece of world history.,101 Reykjavik,Hallgrimur Helgason
,7:21,7:21,"Gripping her gym bag in her right hand, Aomame, like Buzzcut, was waiting for something to happen. The clock display changed to 7:21, then 7:22, then 7:23.",1Q84,Haruki Murakami
